Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Apr,0.006039187,0.005901742,0.00578435,0.005705812,0.005675314,0.005577976,0.005413795,0.005431758,0.005444291,0.00548941,0.005601788,0.005712495,0.005825291,0.00584242,0.005972762,0.006066759,0.005869992,0.005583406,0.005883779,0.006220914,0.006225091,0.006228851,0.006276058,0.006231357
Aug,0.006288591,0.006202949,0.006149893,0.006080545,0.00608514,0.006057567,0.005989055,0.006040857,0.006040021,0.006052554,0.006030831,0.006008272,0.005964824,0.005972344,0.006038768,0.006064252,0.00597861,0.005959393,0.006282742,0.006579355,0.006566403,0.006549276,0.006502485,0.006421021
Dec,0.004564899,0.004516857,0.004490955,0.004494298,0.004612107,0.004753729,0.004950495,0.005231649,0.005357814,0.005175251,0.005027363,0.004934202,0.004768351,0.004575344,0.004503488,0.0047178,0.004900781,0.005049505,0.005450975,0.005267577,0.005052012,0.004852738,0.004794251,0.004664745
Feb,0.005214939,0.005173581,0.005124702,0.005095041,0.00517567,0.00537536,0.005696203,0.005991979,0.005928061,0.005796883,0.005650248,0.005500689,0.005311443,0.0052822,0.005318126,0.005524919,0.005695785,0.005938087,0.006274805,0.006291515,0.00612065,0.006002841,0.005815265,0.005603042
Jan,0.004413251,0.004361866,0.004331787,0.004322179,0.004409491,0.004650123,0.005092953,0.005521159,0.005499853,0.005333166,0.005114676,0.004949659,0.004759995,0.0045461,0.004514768,0.004751639,0.005105067,0.005398755,0.005552074,0.005441785,0.005243348,0.004944229,0.0047178,0.004501817
Jul,0.006293604,0.006165769,0.00606634,0.005981953,0.00596942,0.005915111,0.005944771,0.006039604,0.006037933,0.006060493,0.006031667,0.005989472,0.005947696,0.005936417,0.006029995,0.006047541,0.005961483,0.005863307,0.006144044,0.006484105,0.006508752,0.006498725,0.006471989,0.006468646
Jun,0.006162844,0.00606091,0.005955216,0.005843673,0.005808163,0.005712078,0.005662364,0.005805656,0.005882525,0.005944354,0.006022058,0.006091406,0.006102686,0.006127752,0.006175377,0.0060254,0.005755943,0.005388311,0.00544638,0.005880436,0.005994903,0.006089736,0.006191669,0.006196265
Mar,0.00588336,0.005788529,0.005707065,0.005654008,0.00567239,0.005753854,0.005852864,0.005972344,0.005924301,0.005913858,0.005900071,0.005887956,0.005867903,0.005865814,0.005928897,0.005959393,0.006192088,0.006304048,0.006373815,0.006397209,0.006265613,0.006134437,0.006024147,0.005959811
May,0.006056314,0.005914275,0.00578268,0.005694949,0.005666124,0.005564607,0.005462255,0.00554539,0.005582989,0.005653591,0.00577892,0.005886285,0.005994068,0.006027907,0.006121485,0.006183732,0.005908009,0.00548732,0.005570456,0.006054643,0.006132765,0.006174123,0.006277729,0.006259766
Nov,0.00498684,0.004930025,0.004897021,0.004884488,0.004997284,0.005184443,0.005421732,0.00558842,0.005505702,0.00538664,0.005275514,0.005113423,0.004921252,0.004778794,0.004909972,0.005115093,0.005497347,0.005737978,0.005711659,0.005648995,0.005480219,0.005428416,0.005193633,0.005087521
Oct,0.006118144,0.006042111,0.005976522,0.005930568,0.005917617,0.005957723,0.005864143,0.005963571,0.005983206,0.006096002,0.006058821,0.005988219,0.00585746,0.005633538,0.00570038,0.005753437,0.005951038,0.006136525,0.006362535,0.006310732,0.00627188,0.00622718,0.006121068,0.006050466
Sep,0.006306972,0.00623637,0.006171617,0.006114384,0.006108952,0.006078039,0.006027071,0.006145298,0.006249321,0.006261854,0.006241384,0.006200442,0.006162426,0.006134854,0.005902159,0.005852446,0.005770564,0.006207127,0.006528804,0.006576012,0.006499979,0.006348749,0.006127334,0.006005765
